Time,age_start,age_end,measure,draw_0,draw_1,draw_2
2020,0,1,TruePrevalence,0.2857142857142857,0.2857142857142857,0.2857142857142857
2020,1,2,TruePrevalence,0.21428571428571427,0.21428571428571427,0.21428571428571427
2020,2,3,TruePrevalence,0.22580645161290322,0.22580645161290322,0.22580645161290322
2020,3,4,TruePrevalence,0.18181818181818182,0.18181818181818182,0.18181818181818182
2020,4,5,TruePrevalence,0.15789473684210525,0.15789473684210525,0.15789473684210525
2020,5,6,TruePrevalence,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,6,7,TruePrevalence,0.043478260869565216,0.043478260869565216,0.043478260869565216
2020,7,8,TruePrevalence,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020,8,9,TruePrevalence,0.17647058823529413,0.17647058823529413,0.17647058823529413
2020,9,10,TruePrevalence,0.11764705882352941,0.11764705882352941,0.11764705882352941
2020,10,11,TruePrevalence,0.10526315789473684,0.10526315789473684,0.10526315789473684
2020,11,12,TruePrevalence,0.07692307692307693,0.07692307692307693,0.07692307692307693
2020,12,13,TruePrevalence,0.11764705882352941,0.11764705882352941,0.11764705882352941
2020,13,14,TruePrevalence,0.1,0.1,0.1
2020,14,15,TruePrevalence,0.0,0.0,0.0
2020,15,16,TruePrevalence,0.3076923076923077,0.3076923076923077,0.3076923076923077
2020,16,17,TruePrevalence,0.0,0.0,0.0
2020,17,18,TruePrevalence,0.0,0.0,0.0
2020,18,19,TruePrevalence,0.0,0.0,0.0
2020,19,20,TruePrevalence,0.0,0.0,0.0
2020,20,21,TruePrevalence,0.2222222222222222,0.2222222222222222,0.2222222222222222
2020,21,22,TruePrevalence,0.0,0.0,0.0
2020,22,23,TruePrevalence,0.25,0.25,0.25
2020,23,24,TruePrevalence,0.0,0.0,0.0
2020,24,25,TruePrevalence,0.2222222222222222,0.2222222222222222,0.2222222222222222
2020,25,26,TruePrevalence,0.125,0.125,0.125
2020,26,27,TruePrevalence,0.2,0.2,0.2
2020,27,28,TruePrevalence,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,28,29,TruePrevalence,0.125,0.125,0.125
2020,29,30,TruePrevalence,0.0,0.0,0.0
2020,30,31,TruePrevalence,0.5,0.5,0.5
2020,31,32,TruePrevalence,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,32,33,TruePrevalence,0.0,0.0,0.0
2020,33,34,TruePrevalence,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020,34,35,TruePrevalence,0.0,0.0,0.0
2020,35,36,TruePrevalence,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020,36,37,TruePrevalence,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020,37,38,TruePrevalence,0.0,0.0,0.0
2020,38,39,TruePrevalence,0.4,0.4,0.4
2020,39,40,TruePrevalence,0.0,0.0,0.0
2020,40,41,TruePrevalence,0.5,0.5,0.5
2020,41,42,TruePrevalence,0.5,0.5,0.5
2020,42,43,TruePrevalence,0.0,0.0,0.0
2020,43,44,TruePrevalence,0.0,0.0,0.0
2020,44,45,TruePrevalence,0.0,0.0,0.0
2020,45,46,TruePrevalence,0.0,0.0,0.0
2020,46,47,TruePrevalence,0.0,0.0,0.0
2020,47,48,TruePrevalence,0.0,0.0,0.0
2020,48,49,TruePrevalence,1.0,1.0,1.0
2020,49,50,TruePrevalence,0.0,0.0,0.0
2020,50,51,TruePrevalence,0.0,0.0,0.0
2020,51,52,TruePrevalence,0.0,0.0,0.0
2020,52,53,TruePrevalence,0.0,0.0,0.0
2020,53,54,TruePrevalence,0.0,0.0,0.0
2020,54,55,TruePrevalence,0.0,0.0,0.0
2020,55,56,TruePrevalence,0.0,0.0,0.0
2020,56,57,TruePrevalence,0.0,0.0,0.0
2020,57,58,TruePrevalence,0.0,0.0,0.0
2020,58,59,TruePrevalence,0.0,0.0,0.0
2020,59,60,TruePrevalence,0.0,0.0,0.0
2020,0,1,ObservedTF,0.23809523809523808,0.3333333333333333,0.23809523809523808
2020,1,2,ObservedTF,0.5,0.35714285714285715,0.5
2020,2,3,ObservedTF,0.3870967741935484,0.2903225806451613,0.3548387096774194
2020,3,4,ObservedTF,0.18181818181818182,0.18181818181818182,0.13636363636363635
2020,4,5,ObservedTF,0.15789473684210525,0.21052631578947367,0.21052631578947367
2020,5,6,ObservedTF,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,6,7,ObservedTF,0.043478260869565216,0.08695652173913043,0.2608695652173913
2020,7,8,ObservedTF,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020,8,9,ObservedTF,0.17647058823529413,0.11764705882352941,0.17647058823529413
2020,9,10,ObservedTF,0.17647058823529413,0.11764705882352941,0.058823529411764705
2020,10,11,ObservedTF,0.10526315789473684,0.21052631578947367,0.15789473684210525
2020,11,12,ObservedTF,0.23076923076923078,0.07692307692307693,0.07692307692307693
2020,12,13,ObservedTF,0.11764705882352941,0.17647058823529413,0.11764705882352941
2020,13,14,ObservedTF,0.15,0.15,0.15
2020,14,15,ObservedTF,0.0,0.0,0.0
2020,15,16,ObservedTF,0.3076923076923077,0.38461538461538464,0.23076923076923078
2020,16,17,ObservedTF,0.0,0.0,0.0
2020,17,18,ObservedTF,0.0,0.1,0.0
2020,18,19,ObservedTF,0.0,0.0,0.0
2020,19,20,ObservedTF,0.09090909090909091,0.09090909090909091,0.09090909090909091
2020,20,21,ObservedTF,0.2222222222222222,0.2222222222222222,0.2222222222222222
2020,21,22,ObservedTF,0.16666666666666666,0.0,0.08333333333333333
2020,22,23,ObservedTF,0.25,0.25,0.25
2020,23,24,ObservedTF,0.0,0.0,0.0
2020,24,25,ObservedTF,0.2222222222222222,0.3333333333333333,0.1111111111111111
2020,25,26,ObservedTF,0.125,0.125,0.125
2020,26,27,ObservedTF,0.2,0.4,0.2
2020,27,28,ObservedTF,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,28,29,ObservedTF,0.125,0.125,0.125
2020,29,30,ObservedTF,0.0,0.0,0.0
2020,30,31,ObservedTF,0.5,0.5,0.5
2020,31,32,ObservedTF,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,32,33,ObservedTF,0.0,0.0,0.0
2020,33,34,ObservedTF,0.3333333333333333,0.16666666666666666,0.3333333333333333
2020,34,35,ObservedTF,0.0,0.0,0.5
2020,35,36,ObservedTF,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,36,37,ObservedTF,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020,37,38,ObservedTF,0.0,0.0,0.2
2020,38,39,ObservedTF,0.4,0.4,0.6
2020,39,40,ObservedTF,0.0,0.0,0.0
2020,40,41,ObservedTF,0.5,0.5,1.0
2020,41,42,ObservedTF,0.5,0.5,0.25
2020,42,43,ObservedTF,0.0,0.125,0.0
2020,43,44,ObservedTF,0.0,0.0,0.0
2020,44,45,ObservedTF,0.0,0.0,0.0
2020,45,46,ObservedTF,1.0,1.0,1.0
2020,46,47,ObservedTF,0.0,0.0,0.0
2020,47,48,ObservedTF,0.0,0.0,0.0
2020,48,49,ObservedTF,1.0,1.0,1.0
2020,49,50,ObservedTF,0.0,0.0,0.0
2020,50,51,ObservedTF,0.0,0.0,0.0
2020,51,52,ObservedTF,0.0,0.0,0.0
2020,52,53,ObservedTF,0.0,0.0,0.0
2020,53,54,ObservedTF,0.25,0.0,0.0
2020,54,55,ObservedTF,0.0,0.0,0.0
2020,55,56,ObservedTF,0.0,0.0,1.0
2020,56,57,ObservedTF,0.0,0.0,0.0
2020,57,58,ObservedTF,0.0,0.3333333333333333,0.0
2020,58,59,ObservedTF,0.0,0.0,0.0
2020,59,60,ObservedTF,0.0,0.0,0.0
2020,0,1,heavyInfections,0.0,0.0,0.0
2020,1,2,heavyInfections,0.0,0.0,0.0
2020,2,3,heavyInfections,0.0,0.0,0.0
2020,3,4,heavyInfections,0.0,0.0,0.0
2020,4,5,heavyInfections,0.0,0.0,0.0
2020,5,6,heavyInfections,0.0,0.0,0.0
2020,6,7,heavyInfections,0.0,0.0,0.0
2020,7,8,heavyInfections,0.0,0.0,0.0
2020,8,9,heavyInfections,0.0,0.0,0.0
2020,9,10,heavyInfections,0.0,0.0,0.0
2020,10,11,heavyInfections,0.0,0.0,0.0
2020,11,12,heavyInfections,0.0,0.0,0.0
2020,12,13,heavyInfections,0.0,0.0,0.0
2020,13,14,heavyInfections,0.0,0.0,0.0
2020,14,15,heavyInfections,0.0,0.0,0.0
2020,15,16,heavyInfections,0.0,0.0,0.0
2020,16,17,heavyInfections,0.0,0.0,0.0
2020,17,18,heavyInfections,0.0,0.0,0.0
2020,18,19,heavyInfections,0.0,0.0,0.0
2020,19,20,heavyInfections,0.0,0.0,0.0
2020,20,21,heavyInfections,0.0,0.0,0.0
2020,21,22,heavyInfections,0.0,0.0,0.0
2020,22,23,heavyInfections,0.0,0.0,0.0
2020,23,24,heavyInfections,0.0,0.0,0.0
2020,24,25,heavyInfections,0.0,0.0,0.0
2020,25,26,heavyInfections,0.0,0.0,0.0
2020,26,27,heavyInfections,0.0,0.0,0.0
2020,27,28,heavyInfections,0.0,0.0,0.0
2020,28,29,heavyInfections,0.0,0.0,0.0
2020,29,30,heavyInfections,0.0,0.0,0.0
2020,30,31,heavyInfections,0.0,0.0,0.0
2020,31,32,heavyInfections,0.0,0.0,0.0
2020,32,33,heavyInfections,0.0,0.0,0.0
2020,33,34,heavyInfections,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,34,35,heavyInfections,0.0,0.0,0.0
2020,35,36,heavyInfections,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020,36,37,heavyInfections,0.0,0.0,0.0
2020,37,38,heavyInfections,0.4,0.4,0.4
2020,38,39,heavyInfections,0.2,0.2,0.2
2020,39,40,heavyInfections,1.0,1.0,1.0
2020,40,41,heavyInfections,0.5,0.5,0.5
2020,41,42,heavyInfections,0.5,0.5,0.5
2020,42,43,heavyInfections,1.0,1.0,1.0
2020,43,44,heavyInfections,1.0,1.0,1.0
2020,44,45,heavyInfections,0.0,0.0,0.0
2020,45,46,heavyInfections,1.0,1.0,1.0
2020,46,47,heavyInfections,1.0,1.0,1.0
2020,47,48,heavyInfections,1.0,1.0,1.0
2020,48,49,heavyInfections,1.0,1.0,1.0
2020,49,50,heavyInfections,1.0,1.0,1.0
2020,50,51,heavyInfections,1.0,1.0,1.0
2020,51,52,heavyInfections,1.0,1.0,1.0
2020,52,53,heavyInfections,0.0,0.0,0.0
2020,53,54,heavyInfections,1.0,1.0,1.0
2020,54,55,heavyInfections,1.0,1.0,1.0
2020,55,56,heavyInfections,1.0,1.0,1.0
2020,56,57,heavyInfections,1.0,1.0,1.0
2020,57,58,heavyInfections,1.0,1.0,1.0
2020,58,59,heavyInfections,1.0,1.0,1.0
2020,59,60,heavyInfections,1.0,1.0,1.0
2020,0,1,number,21.0,21.0,21.0
2020,1,2,number,14.0,14.0,14.0
2020,2,3,number,31.0,31.0,31.0
2020,3,4,number,22.0,22.0,22.0
2020,4,5,number,19.0,19.0,19.0
2020,5,6,number,12.0,12.0,12.0
2020,6,7,number,23.0,23.0,23.0
2020,7,8,number,14.0,14.0,14.0
2020,8,9,number,17.0,17.0,17.0
2020,9,10,number,17.0,17.0,17.0
2020,10,11,number,19.0,19.0,19.0
2020,11,12,number,13.0,13.0,13.0
2020,12,13,number,17.0,17.0,17.0
2020,13,14,number,20.0,20.0,20.0
2020,14,15,number,10.0,10.0,10.0
2020,15,16,number,13.0,13.0,13.0
2020,16,17,number,15.0,15.0,15.0
2020,17,18,number,10.0,10.0,10.0
2020,18,19,number,13.0,13.0,13.0
2020,19,20,number,11.0,11.0,11.0
2020,20,21,number,9.0,9.0,9.0
2020,21,22,number,12.0,12.0,12.0
2020,22,23,number,8.0,8.0,8.0
2020,23,24,number,3.0,3.0,3.0
2020,24,25,number,9.0,9.0,9.0
2020,25,26,number,8.0,8.0,8.0
2020,26,27,number,5.0,5.0,5.0
2020,27,28,number,12.0,12.0,12.0
2020,28,29,number,8.0,8.0,8.0
2020,29,30,number,4.0,4.0,4.0
2020,30,31,number,4.0,4.0,4.0
2020,31,32,number,6.0,6.0,6.0
2020,32,33,number,3.0,3.0,3.0
2020,33,34,number,6.0,6.0,6.0
2020,34,35,number,2.0,2.0,2.0
2020,35,36,number,6.0,6.0,6.0
2020,36,37,number,3.0,3.0,3.0
2020,37,38,number,5.0,5.0,5.0
2020,38,39,number,5.0,5.0,5.0
2020,39,40,number,2.0,2.0,2.0
2020,40,41,number,2.0,2.0,2.0
2020,41,42,number,4.0,4.0,4.0
2020,42,43,number,8.0,8.0,8.0
2020,43,44,number,3.0,3.0,3.0
2020,44,45,number,0.0,1.0,1.0
2020,45,46,number,1.0,1.0,1.0
2020,46,47,number,3.0,3.0,3.0
2020,47,48,number,2.0,2.0,2.0
2020,48,49,number,1.0,1.0,1.0
2020,49,50,number,3.0,3.0,3.0
2020,50,51,number,2.0,2.0,2.0
2020,51,52,number,2.0,2.0,2.0
2020,52,53,number,0.0,1.0,1.0
2020,53,54,number,4.0,4.0,4.0
2020,54,55,number,5.0,5.0,5.0
2020,55,56,number,1.0,1.0,1.0
2020,56,57,number,3.0,3.0,3.0
2020,57,58,number,3.0,3.0,3.0
2020,58,59,number,1.0,1.0,1.0
2020,59,60,number,1.0,1.0,1.0
2020,None,None,nSurvey,0.0,0.0,0.0
2020,None,None,surveyPass,1.0,1.0,1.0
2021,0,1,TruePrevalence,0.3548387096774194,0.3548387096774194,0.3548387096774194
2021,1,2,TruePrevalence,0.4117647058823529,0.4117647058823529,0.4117647058823529
2021,2,3,TruePrevalence,0.42857142857142855,0.42857142857142855,0.42857142857142855
2021,3,4,TruePrevalence,0.32142857142857145,0.32142857142857145,0.32142857142857145
2021,4,5,TruePrevalence,0.15,0.15,0.15
2021,5,6,TruePrevalence,0.25,0.25,0.25
2021,6,7,TruePrevalence,0.0,0.0,0.0
2021,7,8,TruePrevalence,0.23809523809523808,0.23809523809523808,0.23809523809523808
2021,8,9,TruePrevalence,0.1,0.1,0.1
2021,9,10,TruePrevalence,0.35294117647058826,0.35294117647058826,0.35294117647058826
2021,10,11,TruePrevalence,0.0,0.0,0.0
2021,11,12,TruePrevalence,0.375,0.375,0.375
