Random Generator,bet,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023
1,0.085037529,0.16517857142857142,0.15246636771300448,0.1409090909090909,0.11210762331838565,0.10909090909090909,0.11009174311926606,0.1232876712328767,0.12612612612612611,0.16055045871559634,0.1409090909090909,0.14864864864864866,0.16591928251121077,0.21266968325791855,0.20982142857142858,0.2183406113537118,0.2222222222222222,0.21777777777777776,0.19823788546255505,0.21982758620689655,0.1724137931034483,0.1829787234042553,0.15879828326180256,0.15217391304347827,0.1391304347826087,0.14537444933920704,0.14285714285714285,0.14473684210526316,0.1341991341991342,0.12121212121212122,0.1072961373390558,0.08823529411764706,0.06694560669456066,0.04897959183673469,0.044897959183673466,0.03734439834024896,0.036885245901639344
2,0.16991325399999999,0.4461538461538462,0.42911877394636017,0.4329501915708812,0.36259541984732824,0.3522727272727273,0.35658914728682173,0.3254901960784314,0.3107569721115538,0.324,0.3548387096774194,0.3545816733067729,0.30859375,0.3333333333333333,0.3938223938223938,0.4200743494423792,0.3939393939393939,0.36329588014981273,0.3233082706766917,0.3103448275862069,0.3269230769230769,0.32421875,0.3543307086614173,0.3779527559055118,0.3852140077821012,0.3372093023255814,0.3023255813953488,0.29343629343629346,0.2723735408560311,0.23137254901960785,0.20078740157480315,0.1953125,0.1626984126984127,0.10810810810810811,0.08267716535433071,0.06201550387596899,0.05813953488372093
3,0.210453261,0.43333333333333335,0.4345991561181435,0.5062761506276151,0.5591836734693878,0.5766129032258065,0.5684647302904564,0.4810126582278481,0.47186147186147187,0.4148471615720524,0.42410714285714285,0.4533333333333333,0.48660714285714285,0.4889867841409692,0.5339366515837104,0.5045045045045045,0.45132743362831856,0.4366812227074236,0.41201716738197425,0.358974358974359,0.3755274261603376,0.37446808510638296,0.3829787234042553,0.3879310344827586,0.4658119658119658,0.4698275862068966,0.3879310344827586,0.34347826086956523,0.2576419213973799,0.2413793103448276,0.23043478260869565,0.22270742358078602,0.1829787234042553,0.15,0.13389121338912133,0.1,0.09876543209876543
4,0.099769905,0.24870466321243523,0.25252525252525254,0.22613065326633167,0.21428571428571427,0.22613065326633167,0.208955223880597,0.18840579710144928,0.18009478672985782,0.19138755980861244,0.21800947867298578,0.22477064220183487,0.21363636363636362,0.22272727272727272,0.21777777777777776,0.2391304347826087,0.251063829787234,0.2703862660944206,0.26521739130434785,0.2857142857142857,0.2850877192982456,0.23809523809523808,0.23076923076923078,0.18333333333333332,0.1825726141078838,0.16736401673640167,0.15789473684210525,0.1285140562248996,0.1285140562248996,0.12096774193548387,0.10483870967741936,0.08267716535433071,0.0622568093385214,0.0546875,0.05019305019305019,0.050387596899224806,0.04980842911877394
5,0.06831377200000001,0.13934426229508196,0.1350210970464135,0.11914893617021277,0.1282051282051282,0.11158798283261803,0.08583690987124463,0.0851063829787234,0.08823529411764706,0.0875,0.08936170212765958,0.08823529411764706,0.06611570247933884,0.07346938775510205,0.07818930041152264,0.09795918367346938,0.10483870967741936,0.12601626016260162,0.14634146341463414,0.14919354838709678,0.16129032258064516,0.1774193548387097,0.17408906882591094,0.17408906882591094,0.20081967213114754,0.19433198380566802,0.1646586345381526,0.14919354838709678,0.13147410358565736,0.108,0.08979591836734693,0.05241935483870968,0.04435483870967742,0.02857142857142857,0.020161290322580645,0.01984126984126984,0.011857707509881422
6,0.172685055,0.44656488549618323,0.4576923076923077,0.4566929133858268,0.41106719367588934,0.40476190476190477,0.376984126984127,0.32653061224489793,0.30522088353413657,0.2903225806451613,0.29959514170040485,0.332,0.36964980544747084,0.3684210526315789,0.428,0.430327868852459,0.43568464730290457,0.42386831275720166,0.379746835443038,0.3458333333333333,0.325,0.31223628691983124,0.2803347280334728,0.2553191489361702,0.20920502092050208,0.18828451882845187,0.14979757085020243,0.12195121951219512,0.136,0.13253012048192772,0.11646586345381527,0.12601626016260162,0.14227642276422764,0.11788617886178862,0.1306122448979592,0.14979757085020243,0.13709677419354838
7,0.142392997,0.29435483870967744,0.3306122448979592,0.3598326359832636,0.37344398340248963,0.3925619834710744,0.4074074074074074,0.36666666666666664,0.3401639344262295,0.2979591836734694,0.3185483870967742,0.3426294820717131,0.3492063492063492,0.383399209486166,0.44223107569721115,0.4627450980392157,0.4880952380952381,0.48412698412698413,0.4779116465863454,0.43478260869565216,0.3843137254901961,0.3611111111111111,0.3187250996015936,0.336,0.3073770491803279,0.26556016597510373,0.24279835390946503,0.22594142259414227,0.17695473251028807,0.14049586776859505,0.125,0.0954356846473029,0.08823529411764706,0.100418410041841,0.09282700421940929,0.10833333333333334,0.10460251046025104
8,0.19138866,0.31981981981981983,0.32589285714285715,0.29596412556053814,0.28054298642533937,0.2636363636363636,0.2972972972972973,0.29333333333333333,0.3056768558951965,0.33766233766233766,0.36554621848739494,0.3983402489626556,0.42436974789915966,0.45064377682403434,0.4396551724137931,0.4765957446808511,0.49159663865546216,0.4810126582278481,0.5,0.4773662551440329,0.483739837398374,0.45528455284552843,0.4344262295081967,0.4049586776859504,0.43621399176954734,0.42857142857142855,0.33884297520661155,0.3524590163934426,0.3140495867768595,0.2926829268292683,0.32653061224489793,0.3117408906882591,0.256,0.236,0.22924901185770752,0.21176470588235294,0.2140077821011673
9,0.217387522,0.28205128205128205,0.3276595744680851,0.3090128755364807,0.32340425531914896,0.3458333333333333,0.3875,0.3877551020408163,0.45267489711934156,0.46443514644351463,0.4854771784232365,0.4669421487603306,0.4495798319327731,0.4767932489451477,0.42738589211618255,0.37344398340248963,0.4375,0.44166666666666665,0.42386831275720166,0.4767932489451477,0.49145299145299143,0.48523206751054854,0.4978723404255319,0.45217391304347826,0.5,0.459915611814346,0.4349593495934959,0.3821138211382114,0.368,0.38,0.3705179282868526,0.34552845528455284,0.291497975708502,0.3224489795918367,0.3114754098360656,0.3629032258064516,0.4
10,0.069329278,0.19838056680161945,0.1762295081967213,0.15163934426229508,0.128099173553719,0.1306122448979592,0.13008130081300814,0.1322314049586777,0.13445378151260504,0.14345991561181434,0.15546218487394958,0.15546218487394958,0.14102564102564102,0.14224137931034483,0.14782608695652175,0.15948275862068967,0.15611814345991562,0.17083333333333334,0.1646090534979424,0.15163934426229508,0.15476190476190477,0.136,0.12749003984063745,0.13414634146341464,0.11475409836065574,0.09504132231404959,0.07851239669421488,0.07024793388429752,0.06224066390041494,0.04184100418410042,0.04602510460251046,0.04184100418410042,0.03404255319148936,0.03333333333333333,0.03347280334728033,0.03734439834024896,0.03319502074688797
11,0.097824866,0.212,0.18473895582329317,0.20481927710843373,0.23577235772357724,0.252,0.25206611570247933,0.2821576763485477,0.3055555555555556,0.34509803921568627,0.3046875,0.3228346456692913,0.32558139534883723,0.3488372093023256,0.32421875,0.31906614785992216,0.311284046692607,0.29411764705882354,0.29961089494163423,0.2918287937743191,0.2777777777777778,0.27419354838709675,0.2693877551020408,0.27419354838709675,0.25793650793650796,0.2490118577075099,0.22957198443579765,0.17391304347826086,0.14741035856573706,0.12550607287449392,0.08943089430894309,0.07228915662650602,0.053061224489795916,0.056910569105691054,0.03543307086614173,0.031007751937984496,0.023076923076923078
12,0.13583981,0.26956521739130435,0.23376623376623376,0.26200873362445415,0.2987012987012987,0.2863247863247863,0.28270042194092826,0.28991596638655465,0.288135593220339,0.2532188841201717,0.29411764705882354,0.3037974683544304,0.3067226890756303,0.28991596638655465,0.31223628691983124,0.359504132231405,0.3004115226337449,0.3020408163265306,0.2571428571428571,0.2540322580645161,0.2948207171314741,0.3147410358565737,0.3176470588235294,0.33070866141732286,0.3134920634920635,0.2701612903225806,0.23170731707317074,0.21311475409836064,0.16872427983539096,0.14634146341463414,0.13524590163934427,0.12,0.0992063492063492,0.05668016194331984,0.058091286307053944,0.04878048780487805,0.036885245901639344
13,0.10572070300000001,0.15555555555555556,0.17410714285714285,0.18468468468468469,0.2054794520547945,0.22119815668202766,0.23963133640552994,0.2350230414746544,0.2727272727272727,0.3225806451612903,0.3644859813084112,0.391705069124424,0.4074074074074074,0.4027777777777778,0.40825688073394495,0.3901345291479821,0.33640552995391704,0.2972972972972973,0.3076923076923077,0.30357142857142855,0.27876106194690264,0.2775330396475771,0.26956521739130435,0.2777777777777778,0.2675438596491228,0.2413793103448276,0.22844827586206898,0.19480519480519481,0.18695652173913044,0.2079646017699115,0.17903930131004367,0.16,0.11504424778761062,0.10176991150442478,0.11538461538461539,0.09282700421940929,0.1092436974789916
14,0.147855245,0.3064516129032258,0.30522088353413657,0.2816326530612245,0.288,0.2908366533864542,0.30708661417322836,0.32421875,0.3333333333333333,0.3584905660377358,0.3828996282527881,0.3467153284671533,0.32727272727272727,0.31135531135531136,0.3188405797101449,0.3333333333333333,0.3161764705882353,0.2792452830188679,0.30303030303030304,0.3148148148148148,0.36466165413533835,0.3584905660377358,0.4329501915708812,0.4728682170542636,0.5426356589147286,0.45348837209302323,0.4263565891472868,0.3435114503816794,0.2490566037735849,0.20224719101123595,0.16296296296296298,0.12267657992565056,0.09363295880149813,0.09022556390977443,0.08139534883720931,0.09375,0.12109375
